TenureGroup,用户数,流失率,平均订单数,平均返现
0-6个月,2150,0.3241860465116279,2.496279069767442,159.57244186046512
7-12个月,1584,0.09848484848484848,2.7474747474747474,163.3139393939394
13-24个月,1467,0.06475800954328562,3.704839809134288,204.91599182004092
24个月以上,429,0.0,3.5454545454545454,222.3400233100233
